image_path,steering_angle
0.jpg,0.000000
1.jpg,0.000000
2.jpg,0.000000
3.jpg,0.000000
5.jpg,0.000000
6.jpg,0.000000
7.jpg,0.000000
8.jpg,0.000000
9.jpg,0.000000
10.jpg,0.000000
11.jpg,0.000000
12.jpg,0.000000
13.jpg,0.000000
14.jpg,0.000000
15.jpg,0.000000
16.jpg,0.000000
17.jpg,0.000000
18.jpg,0.000000
20.jpg,0.000000
21.jpg,0.000000
22.jpg,0.000000
24.jpg,0.000000
25.jpg,0.000000
26.jpg,0.000000
27.jpg,0.000000
28.jpg,0.000000
29.jpg,0.000000
30.jpg,0.000000
31.jpg,0.000000
32.jpg,-3.530000
33.jpg,-3.930000
34.jpg,-5.240000
37.jpg,-3.530000
38.jpg,-2.620000
39.jpg,-2.320000
40.jpg,-2.320000
43.jpg,-2.320000
44.jpg,-2.320000
45.jpg,-2.320000
46.jpg,-2.320000
47.jpg,-2.320000
48.jpg,-2.320000
49.jpg,-2.120000
51.jpg,-0.610000
52.jpg,0.300000
54.jpg,2.120000
55.jpg,2.920000
56.jpg,3.430000
57.jpg,3.530000
58.jpg,3.630000
60.jpg,3.730000
62.jpg,0.000000
63.jpg,2.720000
64.jpg,2.420000
65.jpg,2.420000
66.jpg,2.420000
67.jpg,2.420000
68.jpg,2.420000
69.jpg,0.000000
70.jpg,1.710000
71.jpg,1.410000
72.jpg,1.310000
74.jpg,1.110000
76.jpg,0.500000
80.jpg,0.000000
81.jpg,0.300000
82.jpg,0.400000
83.jpg,0.400000
85.jpg,0.400000
86.jpg,0.400000
88.jpg,1.610000
89.jpg,2.920000
90.jpg,3.730000
91.jpg,3.930000
92.jpg,3.730000
94.jpg,3.730000
95.jpg,3.530000
96.jpg,3.430000
97.jpg,3.430000
99.jpg,3.430000
101.jpg,3.430000
102.jpg,3.430000
103.jpg,3.430000
105.jpg,3.430000
108.jpg,3.130000
109.jpg,3.030000
110.jpg,2.620000
111.jpg,1.820000
112.jpg,1.010000
113.jpg,0.300000
114.jpg,-1.010000
115.jpg,-1.310000
116.jpg,-1.310000
118.jpg,-1.310000
119.jpg,-1.310000
120.jpg,-0.910000
121.jpg,0.100000
122.jpg,0.500000
123.jpg,0.500000
124.jpg,0.810000
126.jpg,1.210000
127.jpg,1.210000
130.jpg,0.910000
131.jpg,0.910000
132.jpg,0.910000
134.jpg,0.910000
136.jpg,0.910000
137.jpg,0.910000
139.jpg,0.300000
140.jpg,1.510000
142.jpg,2.220000
143.jpg,2.320000
146.jpg,2.320000
147.jpg,2.320000
148.jpg,2.320000
149.jpg,2.320000
150.jpg,2.320000
151.jpg,0.000000
152.jpg,2.620000
153.jpg,2.720000
154.jpg,4.030000
155.jpg,4.030000
157.jpg,4.030000
158.jpg,4.030000
159.jpg,4.030000
160.jpg,4.030000
161.jpg,4.030000
162.jpg,4.030000
163.jpg,4.030000
164.jpg,4.030000
166.jpg,4.030000
167.jpg,3.730000
168.jpg,3.630000
169.jpg,3.630000
170.jpg,3.630000
171.jpg,3.530000
172.jpg,3.430000
173.jpg,3.330000
174.jpg,3.230000
175.jpg,3.230000
176.jpg,3.130000
177.jpg,3.030000
178.jpg,2.920000
179.jpg,2.720000
182.jpg,2.520000
183.jpg,2.420000
184.jpg,2.420000
185.jpg,2.320000
186.jpg,2.120000
187.jpg,1.920000
188.jpg,1.510000
189.jpg,1.210000
190.jpg,0.910000
191.jpg,0.910000
192.jpg,0.910000
194.jpg,0.910000
195.jpg,0.810000
196.jpg,0.710000
197.jpg,-0.100000
198.jpg,-0.710000
199.jpg,-1.010000
201.jpg,-1.310000
202.jpg,-1.510000
203.jpg,-1.920000
206.jpg,-2.620000
207.jpg,-2.620000
208.jpg,-2.620000
210.jpg,-2.620000
211.jpg,-2.620000
212.jpg,-2.620000
215.jpg,-2.620000
216.jpg,-2.620000
217.jpg,-2.620000
218.jpg,-2.620000
220.jpg,-2.620000
222.jpg,0.000000
223.jpg,-2.620000
224.jpg,-2.620000
225.jpg,-2.620000
226.jpg,-2.620000
227.jpg,-2.620000
229.jpg,-2.620000
231.jpg,-2.820000
232.jpg,-3.430000
233.jpg,-3.530000
234.jpg,-3.530000
235.jpg,-3.530000
240.jpg,-5.450000
242.jpg,-4.840000
243.jpg,-4.740000
244.jpg,-4.740000
245.jpg,-4.740000
247.jpg,-4.640000
249.jpg,-4.640000
250.jpg,-4.640000
252.jpg,-4.640000
253.jpg,-4.640000
254.jpg,-4.640000
255.jpg,-4.640000
256.jpg,-4.640000
257.jpg,-4.640000
259.jpg,-4.640000
260.jpg,-4.640000
261.jpg,-4.640000
262.jpg,-4.740000
263.jpg,-5.040000
264.jpg,-5.140000
265.jpg,-5.240000
267.jpg,-5.340000
268.jpg,-5.340000
269.jpg,-5.340000
270.jpg,-5.340000
271.jpg,-5.340000
272.jpg,-5.340000
274.jpg,-5.340000
275.jpg,-5.340000
276.jpg,-5.340000
277.jpg,-5.240000
278.jpg,-5.450000
280.jpg,-5.550000
281.jpg,-5.550000
282.jpg,-5.550000
283.jpg,-5.550000
284.jpg,-5.550000
286.jpg,-5.950000
287.jpg,-6.350000
288.jpg,-7.260000
289.jpg,-7.660000
290.jpg,-8.170000
291.jpg,-8.170000
292.jpg,-8.170000
