image_path,steering_angle
0.jpg,0.0
1.jpg,0.0
2.jpg,0.0
3.jpg,0.0
5.jpg,0.0
6.jpg,0.0
7.jpg,0.0
8.jpg,0.0
9.jpg,0.0
10.jpg,0.0
11.jpg,0.0
12.jpg,0.0
13.jpg,0.0
14.jpg,0.0
15.jpg,0.0
16.jpg,0.0
17.jpg,0.0
18.jpg,0.0
20.jpg,0.0
21.jpg,0.0
22.jpg,0.0
24.jpg,0.0
25.jpg,0.0
26.jpg,0.0
27.jpg,0.0
28.jpg,0.0
29.jpg,0.0
30.jpg,0.0
31.jpg,0.0
32.jpg,-3.53
33.jpg,-3.93
34.jpg,-5.24
37.jpg,-3.53
38.jpg,-2.62
39.jpg,-2.32
40.jpg,-2.32
43.jpg,-2.32
44.jpg,-2.32
45.jpg,-2.32
46.jpg,-2.32
47.jpg,-2.32
48.jpg,-2.32
49.jpg,-2.12
51.jpg,-0.61
52.jpg,0.3
54.jpg,2.12
55.jpg,2.92
56.jpg,3.43
57.jpg,3.53
58.jpg,3.63
60.jpg,3.73
62.jpg,0.0
63.jpg,2.72
64.jpg,2.42
65.jpg,2.42
66.jpg,2.42
67.jpg,2.42
68.jpg,2.42
69.jpg,0.0
70.jpg,1.71
71.jpg,1.41
72.jpg,1.31
74.jpg,1.11
76.jpg,0.5
80.jpg,0.0
81.jpg,0.3
82.jpg,0.4
83.jpg,0.4
85.jpg,0.4
86.jpg,0.4
88.jpg,1.61
89.jpg,2.92
90.jpg,3.73
91.jpg,3.93
92.jpg,3.73
94.jpg,3.73
95.jpg,3.53
96.jpg,3.43
97.jpg,3.43
99.jpg,3.43
101.jpg,3.43
102.jpg,3.43
103.jpg,3.43
105.jpg,3.43
108.jpg,3.13
109.jpg,3.03
110.jpg,2.62
111.jpg,1.82
112.jpg,1.01
113.jpg,0.3
114.jpg,-1.01
115.jpg,-1.31
116.jpg,-1.31
118.jpg,-1.31
119.jpg,-1.31
120.jpg,-0.91
121.jpg,0.1
122.jpg,0.5
123.jpg,0.5
124.jpg,0.81
126.jpg,1.21
127.jpg,1.21
130.jpg,0.91
